,lip_Lx,lip_Ly,lip_Rx,lip_Ry,brow_Lx,brow_Ly,brow_Rx,brow_Ry,iris_Lx,iris_Ly,iris_Rx,iris_Ry,face0x,face0y,face1x,face1y,face2x,face2y,face3x,face3y,shoulderx,shouldery,kneex,kneey,neck_angle,waist_angle,question_no,TRUTH
944,0.4509470992618137,0.6397346589300368,0.5589027338557773,0.6372497942712572,0.36876516938209536,0.29636237025260925,0.6397394359111785,0.29477126598358155,0.6300599277019501,0.3633244037628174,0.4067414551973343,0.3643808513879776,0.5114322926687158,0.24762510994206305,0.5021742937110719,0.7503587092672076,0.31533396051776025,0.5398817129673497,0.6938384559846693,0.5350665411641521,0.27260738611221313,0.2616402089595795,0.7328541278839111,0.6261180520057679,125.512864,94.475678,5.0,0.0
945,0.44916395677460563,0.6371138095855713,0.5564901563856337,0.6363074249691434,0.37059863805770876,0.2928882122039795,0.6440390884876251,0.29550019204616546,0.6316720396280289,0.3622797280550003,0.4081509932875633,0.36188245564699173,0.5152312633783921,0.2465747892856598,0.49977859145119075,0.7490257819493612,0.31614716591373565,0.5363304230474657,0.694550254652577,0.5363330485359314,0.27174344658851624,0.2616530537605286,0.7329055070877075,0.6256673216819764,125.342928,94.593011,5.0,0.0
946,0.44744399852222866,0.63201461897956,0.5520667665534549,0.634417884879642,0.37377616465091706,0.2858200311660767,0.650393259525299,0.29505559504032136,0.6354762613773346,0.36171289533376694,0.4121290221810341,0.354847677052021,0.5210606838050096,0.24314711404883343,0.4951971599033901,0.7462163993290493,0.3172644982414861,0.528207132893224,0.6939936972433521,0.5375189858098184,0.2719811797142029,0.261687982082367,0.7337055206298828,0.625588881969452,125.31999,94.521953,5.0,0.0
947,0.44601721233791775,0.6301427218649123,0.5502790874905057,0.635841945807139,0.3823288261890411,0.2812093198299408,0.6567137539386749,0.2991295576095581,0.6410645693540573,0.3639714792370796,0.4148465394973755,0.3494349867105484,0.5306829201138538,0.24307364225387573,0.4890058906305404,0.7449599192256019,0.31767341398423715,0.5213436003654234,0.6961218407077174,0.5422065469526476,0.2712651640176773,0.26173866093158726,0.7337646335363388,0.6255409598350525,125.093934,94.656103,5.0,0.0
948,0.44222407208548653,0.6282179488076104,0.5472528404659696,0.6376865969763862,0.38925147652626035,0.2763041079044342,0.66305490732193,0.3046358197927475,0.6458650082349777,0.3670806512236595,0.4187253639101982,0.3457460254430771,0.5398516175539597,0.24553993085156317,0.48302277354967027,0.7434659344809396,0.31880093678351373,0.5140288135697765,0.69549982105532,0.547886158189466,0.2720649242401123,0.26222871541976933,0.7349074184894562,0.6250628709793091,125.123868,94.414863,5.0,0.0
949,0.4386383758650886,0.6268594066301981,0.5430937806765238,0.6393200821346707,0.3971999317407608,0.2718529611825943,0.6699434220790863,0.31119065284729003,0.6488330215215683,0.3739221692085266,0.42445413768291473,0.3416242226958275,0.5505943220594655,0.2472242596356765,0.47465558704875765,0.7457071798188346,0.3204589428440217,0.5085868931585743,0.6942115012676485,0.5569082383186587,0.27408212423324585,0.26230839192867283,0.7368939816951752,0.6249810934066773,125.11592,93.96974,5.0,0.0
950,0.4395842221048143,0.6272308826446533,0.5439727173911201,0.6437188916736178,0.409893211722374,0.27173004150390623,0.6830934584140778,0.3195889353752136,0.6596815139055252,0.3819175660610199,0.4379478916525841,0.3463086783885956,0.5647166189940079,0.25071538919987885,0.47105041997773306,0.7481889185451326,0.3292567893382042,0.5066192294320753,0.6988576304528021,0.5679576339260224,0.27514398097991943,0.2622900933027268,0.7380835115909576,0.6248593807220459,124.843823,93.72515,5.0,0.0
951,0.44402123822106254,0.6257526344723172,0.5465715924898784,0.6455677085452609,0.4267951905727386,0.26927908360958097,0.6940830647945404,0.3237911105155945,0.6721466779708862,0.3859187513589859,0.44990283995866776,0.34494154155254364,0.5831338231978209,0.2540042011634163,0.46764470423970905,0.7492046696799142,0.33905709847327203,0.5003086626529694,0.7068447143800797,0.5761431474839488,0.27593281865119934,0.2623085260391236,0.7385425865650177,0.6243542909622193,125.043038,93.503003,5.0,0.0
952,0.4437674979368846,0.6243729127777947,0.5478518638345931,0.647004246711731,0.4373416781425476,0.2637621730566025,0.7035805284976959,0.3262870818376541,0.6770354807376862,0.3901608735322952,0.45962945371866226,0.3420165181159973,0.5950375147487806,0.251722549614699,0.4662607241244543,0.7482059370903742,0.3467298145255735,0.49475992206604247,0.7110798964577336,0.5810343180933306,0.2765406519174576,0.2620759189128876,0.738480880856514,0.6237128853797913,125.320256,93.314715,5.0,0.0
953,0.4405118160777622,0.6263584958182441,0.5440002845393287,0.6510373950004578,0.44037929773330686,0.26388114094734194,0.7036463022232056,0.3299208402633667,0.6782616674900055,0.39450234174728394,0.46030113101005554,0.3462585434317589,0.5990426423756973,0.25434730234353436,0.46361535503750756,0.7511764679636274,0.34829335731844746,0.4949497407482516,0.7110159127942978,0.5875778832743245,0.277084544301033,0.2623438715934754,0.7395161241292953,0.6228473663330079,125.656352,93.085473,5.0,0.0
954,0.43945831060409546,0.625298347738054,0.542858127090666,0.648880852593316,0.4385189950466156,0.25838978588581085,0.699268352985382,0.3228971898555756,0.6748148947954178,0.38824939727783203,0.4594460502266884,0.3428554832935333,0.596890108740848,0.24803953714992688,0.4669601321220398,0.7494099707830519,0.34835708141326904,0.49442434310913086,0.7106501383166159,0.5837631590904728,0.277623251080513,0.2621072411537171,0.7400880306959152,0.6221301436424256,125.897645,92.891826,5.0,0.0
955,0.4395209087265862,0.6253271632724338,0.543762120935652,0.6473015016979642,0.4355829060077667,0.25613081455230713,0.6964092195034027,0.3162774473428726,0.6716537624597549,0.38528551161289215,0.45578036457300186,0.341719813644886,0.5938133947227312,0.24282423050507257,0.4699987584636325,0.7493826491492135,0.3485209494829178,0.4927778484359864,0.7118556845572687,0.5782520174980164,0.27754199504852295,0.26202349662780766,0.740122526884079,0.6218536972999573,125.895469,92.877215,5.0,0.0
956,0.44592441784010994,0.6306641962793138,0.549298064576255,0.6487423446443346,0.432024809718132,0.25687539875507354,0.6912858009338378,0.3087863624095917,0.6711883991956711,0.38113684207201004,0.45509424060583115,0.34225571155548096,0.5874070654744687,0.23881358685700788,0.4803159889720735,0.7528569329352606,0.35247706213305074,0.4983618740112551,0.7163562899635684,0.5711663134636418,0.27733954787254333,0.26196001768112187,0.7402619421482086,0.6217296600341797,125.837642,92.901789,5.0,0.0
