frame,lip_Lx,lip_Ly,lip_Rx,lip_Ry,brow_Lx,brow_Ly,brow_Rx,brow_Ry,iris_Lx,iris_Ly,iris_Rx,iris_Ry,face0x,face0y,face1x,face1y,face2x,face2y,face3x,face3y,shoulderx,shouldery,kneex,kneey,neck_angle,waist_angle,knee_angle,question_no,TRUTH
137,0.4495953453911675,0.631697436173757,0.5476501550939348,0.6312175061967638,0.37732517421245576,0.3053976595401764,0.6436067461967468,0.3086172312498093,0.6175869256258011,0.3934412971138954,0.39495887607336044,0.3859400674700737,0.5172724684943324,0.27335818176684173,0.4967719344865708,0.749862878095536,0.3174831189455525,0.5516697043372739,0.6883149137420039,0.5592148996168568,0.23524728417396545,0.35747959017753606,0.6582270562648773,0.5891544699668885,139.344154,99.860653,67.098379,0.0,1.0
138,0.4455183611975776,0.6311027672555711,0.5451719197962019,0.6330819593535529,0.3765757530927658,0.30339101552963255,0.6459670782089233,0.3137796729803085,0.6174707561731339,0.3974337875843048,0.3960026651620865,0.38686511665582657,0.5194602679947149,0.2706337286078412,0.48780557513237,0.7524202125413078,0.3124808616215183,0.548557577594634,0.6853176413043853,0.5618694155446945,0.2375301718711853,0.3022903978824616,0.6717318296432495,0.6324747681617737,118.065443,103.947099,75.782416,0.0,1.0
139,0.4429742892583211,0.6305506692992316,0.5443054040273031,0.6333260867330763,0.3754110962152481,0.3022739291191101,0.645847499370575,0.3151129484176636,0.6157531589269638,0.397909976541996,0.3942539170384407,0.3855540230870247,0.5167719631091408,0.2686847552009251,0.48616904871804373,0.7509624844505673,0.30768082170717176,0.5459083674415466,0.6829034695702214,0.5618776669425349,0.26663605868816376,0.28385593295097356,0.7067660540342331,0.643809723854065,133.311257,98.029137,77.452336,0.0,1.0
140,0.4422890245914459,0.6323242253727384,0.544303791390525,0.635186407301161,0.37072868943214415,0.3028645396232605,0.6432436764240265,0.31613815724849703,0.6132142543792725,0.3990504592657089,0.3902427852153778,0.38644401729106903,0.5146203086428021,0.2707177944805311,0.485412373429253,0.7533319564092726,0.30492690974666226,0.5474421603064383,0.6798154106063228,0.5631294596579767,0.2631147801876068,0.2732873290777207,0.7164171934127808,0.6391369581222535,127.77131,98.105834,78.533858,0.0,1.0
141,0.4414648612340291,0.6316327717569139,0.5425253013769785,0.6345898509025574,0.3667537957429886,0.30202474892139436,0.6389376580715179,0.3151271194219589,0.6099323779344559,0.3977333605289459,0.3864342048764229,0.386322982609272,0.5099862049455228,0.26960720316223474,0.48546121659733,0.7528754245667231,0.30101735745706865,0.5472614822849151,0.6776099118494219,0.5613285264661235,0.2694106549024582,0.2734558165073395,0.7228852957487106,0.6363151550292969,127.725675,96.329241,76.734516,0.0,1.0
142,0.4432830247614119,0.6331215500831604,0.5428978867001004,0.6352838410271539,0.36613747775554656,0.30391784608364103,0.6368705272674561,0.31418412923812866,0.6094990372657776,0.39729224890470505,0.385034516453743,0.3871757686138153,0.5078917437273522,0.26943228685337567,0.4876738034543537,0.753160400050027,0.30145451955256924,0.5499747289765266,0.6778422565229477,0.5597947451376146,0.27648793160915375,0.27125920653343205,0.7226996570825577,0.6336582183837891,130.76789,94.607912,78.060191,0.0,1.0
143,0.44385599427753025,0.632755716641744,0.5445415576299032,0.6332916617393494,0.36370804309844973,0.30449808239936826,0.6350600719451904,0.3110162615776062,0.6091894507408142,0.39460936188697815,0.3843590170145035,0.3878329172730446,0.5053778958061468,0.2667258109735406,0.4897052134786333,0.7522541568392799,0.30101467428668854,0.5506173458791548,0.678539922160487,0.5565760981652045,0.2742001563310623,0.26968467533588414,0.7192195802927017,0.628466534614563,129.943745,94.559379,78.049679,0.0,1.0
144,0.4460261795255873,0.6322779920366075,0.5461498730712466,0.6311664515071445,0.36305231750011446,0.30376013517379763,0.6355880558490753,0.30887453258037567,0.6086536794900894,0.39199014753103256,0.38366687297821045,0.3861601799726486,0.5052019927812659,0.2651482237421948,0.491481656119937,0.7505675980022976,0.3030755087252586,0.551372649208192,0.6795528732961224,0.5540383438910207,0.27385078370571136,0.2675368815660477,0.7208539694547653,0.6274616599082947,129.494428,94.515702,77.908604,0.0,1.0
145,0.4485209948486752,0.6331233647134569,0.5477841099103292,0.6311283972528245,0.3625793755054474,0.3054463744163513,0.634920060634613,0.3074439525604248,0.6094861626625061,0.3904518708586693,0.38455192744731903,0.3870983049273491,0.5048213834347932,0.26478356511696527,0.4943299208368574,0.7525466652143569,0.3058735958991512,0.5536826060664269,0.6812550060210689,0.5527918656026164,0.27698975801467896,0.26871489286422734,0.72464919090271,0.6283423781394959,129.850546,93.891511,78.045896,0.0,1.0
146,0.4479001263777415,0.6334259245130751,0.5485001140170627,0.6307926376660665,0.36211335361003877,0.30718410313129424,0.6344654858112335,0.3062260031700134,0.6091141402721405,0.38995257019996643,0.3839236795902252,0.3881119042634964,0.5035821018011674,0.26416101533433667,0.49624464625403997,0.7518655232020787,0.30665291605457184,0.554793002143983,0.6820197374589981,0.5511057261497744,0.27941887080669403,0.2689539819955826,0.7234100550413132,0.6270437717437745,130.625161,93.267652,78.336137,0.0,1.0
